A部——人类生活必需
本 部 目 录
（参见及附注省略）
A61F可植入血管内的滤器；假体；为人体管状结构提供开口、或防止其塌陷的装置，例如支架（stents）；整形外科、护理或避孕装置；热敷；眼或耳的治疗或保护；绷带、敷料或吸收垫；急救箱（假牙入A61C） 〔6，8〕	215
A61G专门适用于病人或残疾人的运输工具、专用运输工具或起居设施（辅助病人或残疾人步行的器具入A61H 3/00）；手术台或手术椅子；牙科椅子；丧葬用具（尸体防腐剂A01N 1/00）	222
A61H理疗装置，例如用于寻找或刺激体内反射点的装置；人工呼吸；按摩；用于特殊治疗或保健目的或人体特殊部位的洗浴装置（电疗法、磁疗法、放射疗法、超声疗法入A61N）	225
A61J专用于医学或医药目的的容器；专用于把药品制成特殊的物理或服用形式的装置或方法；喂饲食物或口服药物的器具；婴儿橡皮奶头；收集唾液的器具	228
A61K医用、牙科用或梳妆用的配制品（专门适用于将药品制成特殊的物理或服用形式的装置或方法A61J 3/00；空气除臭，消毒或灭菌，或者绷带、敷料、吸收垫或外科用品的化学方面，或材料的使用入A61L；肥皂组合物入C11D）	230
A61L材料或消毒的一般方法或装置；空气的灭菌、消毒或除臭；绷带、敷料、吸收垫或外科用品的化学方面；绷带、敷料、吸收垫或外科用品的材料（以所用药剂为特征的机体保存与灭菌入A01N；食物或食品的保存，如灭菌入A23；医药、牙科或梳妆用的配制品入A61K） 〔4〕	260
A61M将介质输入人体内或输到人体上的器械（将介质输入动物体内或输入到动物体上的器械入A61D 7/00；用于插入棉塞的装置入A61F 13/26；喂饲食物或口服药物用的器具入A61J；用于收集、贮存或输注血液或医用液体的容器入A61J 1/05）；为转移人体介质或为从人体内取出介质的器械（外科用的入A61B，外科用品的化学方面入A61L；将磁性元件放入体内进行磁疗的入A61N 2/10）；用于产生或结束睡眠或昏迷的器械 〔4，5〕	268
A61N电疗；磁疗；放射疗；超声波疗（生物电流的测定入A61B；将非机械能转入或转出人体的外科器械、装置或方法入A61B 18/00；一般麻醉用器械入A61M；白炽灯入H01K；红外加热辐照器入H05B） 〔6〕	273
A61P化合物或药物制剂的特定治疗活性〔7〕	275
A61Q化妆品或类似梳妆用配制品的特定用途〔８〕	280
A62救生；消防	282
A62B救生设备、救生装置或救生方法（专门用于医疗工作的阀门入A61M 39/00；呼吸器、面罩、呼吸装置或类似装置中使用的化学材料的组合物入A62D；高山救援或森林救援入A63B 27/00，A63B 29/00；专用于水中的救生设备、装置或救生方法入B63C 9/00；潜水装备入B63C 11/00；飞机上专用的，如降落伞或弹射椅入B64D；采矿业专用营救设备入E21F 11/00）	282
A62C消防（灭火组合物，灭火化学物质的使用入A62D 1/00；一般向表面喷射、施用液体或其他流体物质入B05；消防飞行器入B64D 1/16；报警装置入G08B，如用烟或气驱使的火灾信号报警入G08B 17/10）	285
A62D灭火用化学装置；通过产生化学变化使有害的化学物质无害或减少害处的方法；用于防护有害化学试剂的覆盖物或衣罩的材料组合物；用于防毒面具、呼吸器、呼吸袋或头盔的透明部件的材料组合物；用于呼吸装置中的化学材料组合物	289
A63运动；游戏；娱乐活动	292
A63B体育锻炼、体操、游泳、爬山或击剑用的器械；球类；训练器械（被动锻炼、按摩用装置入A61H）	292
A63C冰鞋；滑橇；滚轮溜冰鞋；球场、冰场或类似场地的设计或布局（滑水板入B63B35/81） 〔5〕	303
A63D保龄球游戏，如九柱戏、意大利滚木球游戏或保龄球；其相关装置；弹子游戏或类似的游戏；台球（球类入A63F 37/00）	307
A63F纸牌，棋盘或轮盘赌游戏；利用小型运动物体的室内游戏；视频游戏；其他类目不包含的游戏〔5〕	308
A63G旋转木马；秋千；摇木马（作为幼儿园器具用的秋千或摇木马入A47D 13/10）；滑运道；娱乐用之字形小铁路；供公共娱乐用的类似装置	314
A63H玩具，如陀螺、玩偶、滚铁环、积木	317
A63J供戏院、马戏场等使用的装置；变戏法用具或类似用具	323
A63K赛马；骑马运动；所用的设备或附件（跑表入G04F 7/06；计时入G07C 1/22；由选择或组合各个要素来指示变化信息的装置入G09F 9/00）	324
A99本部其他类目中不包括的技术主题〔８〕	325
A99Z本部其他类目中不包括的技术主题	325
B部——作业；运输
本 部 目 录
（参见及附注省略）
分部：分离；混合	19
B01一般的物理或化学的方法或装置	21
B01B 沸腾；沸腾装置	21
B01D分离（用湿法从固体中分离固体入B03B、B03D，用风力跳汰机或摇床入B03B，用其他干法入B07；固体物料从固体物料或流体中的磁或静电分离，利用高压电场的分离入B03C；离心机、涡旋装置入B04B；涡旋装置入B04C；用于从含液物料中挤出液体的压力机本身入B30B 9/02） 〔5〕	22
B01F混合，例如，溶解、乳化、分散（混合颜料入B44D 3/06）	39
B01J 化学或物理方法，例如，催化作用、胶体化学；其有关设备（特殊用途的方法或设备，见这些方法或设备的有关类目，例如，F26B 3/08）〔2〕	42
B01L通用化学或物理实验室设备（医用或药用设备入A61；工业用设备或者结构和性能与类似的工业用设备相类似的实验室设备，见相应的工业设备各类，特别是B01和C12的小类；分离和蒸馏设备入B01D；混合或搅拌装置入B01F；雾化器入B05B；筛子入B07B；栓、塞入B65D；一般液体贮运入B67；真空泵入F04；虹吸管入F04F 10/00；龙头，阻塞栓入F16K；管、管接头入F16L；专门适用于材料研究与分析的设备入G01，尤其入G01N；电气或光学设备见G部和H部的有关各类）	56
B02破碎、磨粉或粉碎；谷物碾磨的预处理	58
B02B碾磨谷物的准备；靠加工表壳将谷粒精制为商品（直接由谷物制成生面团入A21C；谷物的保存或消毒入A23B；果品的清净入A23N；麦芽的制备入C12C）	58
B02C一般破碎、研磨或粉碎；碾磨谷物（用破碎、磨碎或碾磨方法制取金属粉末入B22F 9/04）	59
B03  用液体或用风力摇床或风力跳汰机分离固体物料；从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离〔5〕	64
B03B用液体或用风力摇床或风力跳汰机分离固体物料（从固体中除去流体入B01D；从固体物料或液体中分离固体物料的磁力或静电分离，高压电场分离入B03C；浮选，选择性沉积入B03D；用干法分离入B07；筛选或筛分入B07B；挑选入B07C；分离特殊物料包含在其他单独一个大类中，见有关类）	64
B03C从固体物料或流体中分离固体物料的磁或静电分离；高压电场分离（利用电或磁的过滤器入B01D 35/06；分离同位素入B01D 59/00；磁或静电分离法与其他固体分离装置的结合入B03B、B07B；从垛堆里选薄板入B65H 3/00；磁体或磁性线圈本身入H01F）〔5〕	67
B03D浮选；选择性沉积法（与其他固体分离法组合入B03B；沉浮分离法入B03B 5/28）	70
B04用于实现物理或化学工艺过程的离心装置或离心机	72
B04B离心机（高速转鼓碾磨机入B02C 19/11）	72
B04C应用自由旋流的装置，如旋流器（具有利用惯性或离心分离器将排气中的固体成分排出的装置的用于机器或发动机的排气或消声装置入F01N 3/037；旋流式燃烧装置入F23）	74
B05一般喷射或雾化；对表面涂覆液体或其他流体的一般方法〔2〕	76
B05B喷射装置；雾化装置；喷嘴（有喷嘴的喷射混合机入B01F 5/20；用喷射使液体或其他流体涂布于表面的方法入B05D）〔2〕	76
B05C一般对表面涂布液体或其他流体的装置（喷射装置、雾化装置、喷嘴入B05B；把液体或其他流体涂布于物体上的静电喷射装置入B05B 5/08）〔2〕	80
B05D对表面涂布液体或其他流体的一般工艺（输送通过液浴的节或工件入B65G，如B65G 49/02） 〔2〕	83
B06一般机械振动的发生或传递	85
B06B一般的机械振动的发生或传递（其特殊物理或机械方法见有关小类，如B07B 1/40，B22C 19/06，B23Q 17/12，B24B 31/06，E01C 19/22；机械振动的测量，包括发生与测量的结合入G01H；利用声波反射或再辐射的系统入G01S 15/00；勘探用地震能的产生入G01V 1/02；机械振动的控制入G05D 19/00；声音发送、传导或定向的一般方法或装置入G10K 11/00；声波的合成入G10K 15/02；压电器件、电致伸缩器件或磁致伸缩器件入H01L 41/00；有振动磁体、电枢或线圈的电动机入H02K 33/00；利用压电效应、电致伸缩或磁致伸缩的电动机入H02N 2/00；电振荡的产生入H03B；作为谐振电路器件的机电谐振器入H03H；扬声器、传声器、唱机拾音器等声音机电转换器入H04R）〔2〕	85
B07将固体从固体中分离；分选	87
B07B用细筛、粗筛、筛分或用气流将固体从固体中分离；适用于散装物料的其他干式分离法，如适于像散装物料那样处理的松散物品的分离（湿式分离方法，使用像液体一样的流态物料的分选方法入B03；干式分离装置与湿式分离装置的联合入B03B；使用液体的入B03B，B03D；用磁力或静电分离方法从固体物料或液体中分离固体物料的分选，高压电场分离入B03C；用于实现物理过程所用的离心机或涡流装置入B04；人工分选，邮件分拣，根据对物品或物料样品的某些特性的检测或测量来致动开关或其他装置以进行分选入B07C）	87
B07C邮件分拣；单件物品的分选，或适于一件一件地分选的散装材料的分选，如拣选（专门适用于特定用途的并已包含在其他类的，参看有关的类，如A43D 33/06、B23Q 7/12）	90
B08清洁	92
B08B一般清洁；一般污垢的防除（刷子入A46；家庭或类似清洁装置入A47L；颗粒从液体或气体中分离入B01D；固体分离入B03，B07；一般对表面喷射或涂敷液体或其他流体材料入B05；用于输送机的清洗装置入B65G 45/10；对瓶子同时进行清洗、灌注和封装的入B67C 7/00；一般腐蚀或积垢的防止入C23；街道、永久性道路、海滨或陆地的清洗入E01H；专门用于游泳池或仿海滨浴场浅水池或池子的部件、零件或辅助设备清洁的入E04H 4/16；防止或清除静电荷入H05F）	92
B09固体废物的处理；被污染土壤的再生〔3，6〕	95
B09B固体废物的处理〔3〕	95
B09C污染的土壤的再生（从土壤中除去石头或类似杂物的收集机入A01B 43/00；土壤的蒸气消毒入A01G 11/00；一般分离入B01D；清洗海滩入E01H 12/00；清除陆地上不希望有的东西，例如垃圾入E01H 15/00）〔6〕	98
分部：成型	99
B21基本上无切削的金属机械加工；金属冲压	99
B21B金属的轧制（与B21中的金属加工结合使用的辅助加工，见B21C；轧弯入B21D；轧制特种制品，如螺丝、轮、环、圆桶、球入B21H；利用轧机的压焊入B23K 20/04）	99
B21C用非轧制的方式生产金属板、线、棒、管、型材或类似半成品；与基本无切削金属加工有关的辅助加工	106
B21D金属板或管、棒或型材的基本无切削加工或处理；冲压金属（线材的加工或处理入B21F）	111
B21F金属线材的加工或处理（金属轧制入B21B；用拉拔和用有关基本无切削加工的辅助加工方法入B21C；捆扎物件入B65B13/00）	120
B21G金属针、销或钉的制造	123
B21H用轧制方法制造特殊的金属物品，如螺钉、轮、环、桶、球（基本上由金属板材制的入B21D）	124
B21J锻造；锤击；压制；铆接；锻造炉（金属的轧制入B21B；通过锻压或压制制造特殊制品入B21K；包覆或镀敷入B23K；用锤击精整表面入B23P 9/04；通过用特殊材料喷丸进行表面强化入B24C 1/10；压力机的一般性能、废料压固用的压力机入B30B；炉子一般入F27）	126
B21K制造金属锻件或压制件，如马蹄铁、铆钉、螺栓或轮子（用基本无切削的加工金属板材的方法制作特殊制品入B21D；加工线材入B21F；销、针或钉的制作入B21G；通过滚轧制造特殊产品入B21H；锻压机、压制机械、锤击机械一般入B21J；链条制作入B21L；金属镀敷入B23K）	129
B21L金属链条的制造（通过铸造制造链条或链节入B22D25/02；链条本身入F16G）	133
B22铸造；粉末冶金	135
B22C铸造造型（成型耐火材料一般入B28B）	135
B22D金属铸造；用相同工艺或设备的其他物质的铸造（塑料或塑性状态物质的成型入B29C；冶金工艺，添加到金属中物质的选择入C21，C22）	139
B22F金属粉末的加工；由金属粉末制造制品；金属粉末的制造（用粉末冶金法制造合金入C22C；）；金属粉末的专用装置或设备	146
B23机床；其他类目中不包括的金属加工	148
B23B车削；镗削（用电极代替工具入B23H，例如加工孔入B23H 9/14；用激光束加工入B23K 26/00；仿形或控制装置入B23Q）	149
B23C铣削（拉削入B23D；制造齿轮的拉铣入B23F；用于仿形加工或控制的装置入B23Q）	156
B23D刨削；插削；剪切；拉削；锯；锉削；刮削；其他类目不包括的用切除材料方式对金属加工的类似操作（齿轮或类似物的入B23F；用局部加热方式切割金属入B23K；用于仿形或控制装置入B23Q）	158
B23F齿轮或齿条的制造（用冲压法的入B21D；用滚轧法的入B21H；用锻造或压力加工的入B21K；用铸造法的入B22；仿形或控制设备入B23Q；用于磨削或抛光加工的一般机械或装置入B24B）	167
B23G螺纹切制；螺钉、螺栓头或螺母的加工，及其有关的加工（用管褶皱形成螺纹入B21D 15/04，用滚轧入B21H 3/02，用锻造、压力加工或锤锻入B21K 1/56；用车削加工螺旋槽入B23B 5/48，用铣削入B23C 3/32，用磨削入B24B 19/02；仿形或控制装置入B23Q）	170
B23H用电极代替刀具，以电流高度集中的作用在工件上的金属加工；这种加工与其他方式的金属加工的组合（电铸、涂层的电解或电泳生产工艺或其所用的设备入C25D；电解去除加工件材料的工艺入C25F；把沉淀技术用于导电材料形成所要求的电路来制造印刷线路入H05K 3/18）〔4〕	172
B23K钎焊或脱焊；焊接；用钎焊或焊接方法包覆或镀敷；局部加热切割，如火焰切割；用激光束加工（用金属的挤压来制造金属包覆产品入B21C 23/22；用铸造方法制造衬套或包覆层入B22D 19/08；用浸入方式的铸造入B22D 23/04；用烧结金属粉末制造复合层入B22F 7/00；机床上的仿形加工或控制装置入B23Q；不包含在其他类目中的包覆金属或金属包覆材料入C23C；燃烧器入F23D）	174
B23P金属的其他加工；组合加工；万能机床（仿形加工或控制装置入B23Q）	183
B23Q机床的零件、部件或附件，如仿形装置或控制装置（在车床或镗床上使用的各类刀具入B23B 27/00）；以特殊零件或部件的结构为特征的通用机床；不针对某一特殊金属加工用途的金属加工机床的组合或联合	186
B24磨削；抛光	193
B24B 用于磨削或抛光的机床、装置或工艺（用电蚀入B23H；磨料或有关喷射入B24C；电解浸蚀或电解抛光入C25F 3/00）；磨具磨损表面的修理或调节；磨削，抛光剂或研磨剂的进给	193
B24C磨料或微粒材料的喷射	203
B24D磨削、抛光或刃磨用的工具（专门适用于滚光装置的磨料体，如磨球入B24B31/14；珩磨工具入B24B33/08；研具入B24B 37/11；）	205
B25手动工具；轻便机动工具；手动器械的手柄；车间设备；机械手	208
B25B不包含在其他类目中的用于紧固、连接、拆卸或夹持的工具或台式设备	208
B25C手持钉钉或钉U形钉工具；手动轻便式钉U形钉工具（用于制鞋的入A43D）	213
B25D冲击工具〔2〕	215
B25F不包括在其他类目中的组合工具或多用途工具；与执行操作无特殊关联并且不包括在其他类目中的轻便机动工具的零件或部件〔4〕	217
B25G手动器械的手柄（将刀片或类似件固定到整地用手动工具手柄上入A01B 1/22；收割用手动器械的手柄入A01D 1/14；与刷子制品构成整体的手柄入A46B）	218
B25H车间设备，例如用于工件划线；车间储存设备	220
